PlotNum;TreeNum;Species;X;Y;Status_2009;d13_2009;hc_2009;Status_2010;Notes_2010;Damage_class;break_h;h
TEXAS;427;2;2515893.841;6861244.478;11;282;3.7;11;;0;NA;22.71958941
TEXAS;426;2;2515894.14;6861238.931;11;251;7.7;11;;0;NA;20.75026649
TEXAS;425;2;2515897.24;6861240.716;11;257;2.9;11;;0;NA;21.13726144
TEXAS;424;2;2515896.618;6861237.387;11;262;7.7;12;katkennut 10.5 m korkeudelta;1;10.5;21.45759135
TEXAS;420;1;2515907.379;6861237.728;22;198;NA;22;;0;NA;18.11151924
TEXAS;419;1;2515909.351;6861236.989;11;192;11.7;22;pökkelö 9 m;1;9;17.86193369
TEXAS;418;1;2515908.772;6861234.622;11;190;13;22;pökkelö 11 m;1;11;17.77699197
TEXAS;404;2;2515913.405;6861233.367;11;252;3.1;11;;0;NA;20.81496376
TEXAS;402;2;2515918.541;6861233.24;11;229;1.8;11;;0;NA;19.30652844
TEXAS;396;1;2515921.036;6861230.486;11;213;12.1;12;katkennut 12 m korkeudelta;1;12;18.70305537
TEXAS;393;1;2515926.019;6861229.79;11;297;12;22;pökkelö 8 m;1;8;21.34373711
TEXAS;31;2;2515961.04;6861220.429;11;243;1.9;11;;0;NA;20.22981096
TEXAS;33;2;2515962.862;6861220.788;11;201;11.2;12;katkennut 9 m korkeudelta;1;9;17.41078054
TEXAS;35;2;2515965.473;6861221.85;11;247;4.3;11;;0;NA;20.49068012
TEXAS;36;4;2515964.924;6861218.847;11;120;8.9;11;;0;NA;11.52704326
TEXAS;50;1;2515967.524;6861221.984;12;136;13.5;22;pökkelö 4 m. latva kiinni;1;4;15.09089752
TEXAS;49;2;2515967.175;6861220.22;11;197;4.7;11;;0;NA;17.13444962
TEXAS;48;2;2515967.691;6861217.462;11;174;4.3;11;;0;NA;15.5178671
TEXAS;51;1;2515969.86;6861223.922;11;228;11.1;11;;0;NA;19.25224566
TEXAS;53;2;2515969.307;6861218.184;11;179;4.1;11;;0;NA;15.8733664
TEXAS;52;2;2515970.607;6861220.236;11;152;3.7;11;;0;NA;13.92602854
TEXAS;69;1;2515972.954;6861222.805;11;225;10.6;11;;0;NA;19.14557543
TEXAS;68;2;2515972.676;6861220.081;11;159;4.4;11;;0;NA;14.43747245
TEXAS;70;1;2515974.876;6861221.491;11;282;11.3;12;2-haarainen 8 m lähtien;0;NA;20.94096442
TEXAS;67;2;2515974.529;6861218.37;11;153;3.1;11;;0;NA;13.99937869
TEXAS;66;2;2515974.539;6861217.108;11;206;2.5;11;;0;NA;17.754229
TEXAS;71;1;2515977.156;6861222.904;11;215;11.5;11;;0;NA;18.77862496
TEXAS;72;1;2515977.922;6861219.701;11;154;12.2;11;;0;NA;16.07967141
TEXAS;74;1;2515979.573;6861215.487;11;228;11.9;11;;0;NA;19.25224566
TEXAS;73;1;2515980.649;6861217.33;11;237;14.2;22;pökkelö 10 m;1;10;19.56328564
TEXAS;429;2;2515891.97;6861227.771;11;258;7.8;11;;0;NA;21.20148426
TEXAS;423;2;2515897.456;6861234.729;11;203;6.3;11;;0;NA;17.54842095
TEXAS;431;2;2515896.268;6861229.67;11;243;10.4;11;;0;NA;20.22981096
TEXAS;432;2;2515896.014;6861226.695;11;275;9;12;katkennut 10 m korkeudelta;1;10;22.28136828
TEXAS;422;1;2515903.171;6861234.742;11;269;12.5;11;;0;NA;20.5706505
TEXAS;421;1;2515906.648;6861233.26;11;250;12.4;22;pökkelö 4.5 m ;1;4.5;19.99015635
TEXAS;414;2;2515906.847;6861225.052;11;208;5.7;11;;0;NA;17.89100123
TEXAS;416;2;2515909.663;6861228.274;11;239;4.5;11;;0;NA;19.96764948
TEXAS;415;2;2515909.764;6861225.973;11;208;6;11;;0;NA;17.89100123
TEXAS;417;1;2515911.816;6861229.911;11;235;12.9;32;tuulenkaato (juurineen);3;NA;19.49530122
TEXAS;405;2;2515913.793;6861231.955;11;221;3;11;;0;NA;18.77166992
TEXAS;410;1;2515911.96;6861223.869;11;298;13.7;11;;0;NA;21.36971018
TEXAS;406;2;2515915.042;6861229.807;11;194;4.6;11;;0;NA;16.92627732
TEXAS;407;1;2515914.307;6861226.622;11;262;14.4;11;;0;NA;20.36244863
TEXAS;408;1;2515914.615;6861225.131;11;267;14.1;11;;0;NA;20.51181356
TEXAS;409;2;2515914.657;6861222.645;11;170;2.4;11;;0;NA;15.23181192
TEXAS;401;1;2515917.973;6861227.313;11;120;12.1;11;;0;NA;14.11592392
TEXAS;400;1;2515918.851;6861224.758;11;152;11.2;11;;0;NA;15.97493136
TEXAS;397;1;2515920.673;6861227.43;11;211;11.8;11;;0;NA;18.62673398
