"ID"	"X"	"Y"	"Hmax"	"Hmean"	"Hstd"	"CV"	"VD"	"h10"	"h20"	"h30"	"h40"	"h50"	"h60"	"h70"	"h80"	"h90"
1	5893.59	1243.75	18.83	11.923321799308	4.09610613328237	0.343537329800166	0.651914010511831	6.324	7.908	8.964	11.204	12.17	13.538	14.936	15.952	17.352
2	5894.42	1238.78	20.84	14.8096261682243	3.73623682162858	0.252284343925243	0.482732173873813	9.229	12.18	13.247	14.748	15.465	16.126	17.311	18.234	19.068
3	5897.38	1240.55	23.5	13.6408510638298	5.44251616361975	0.398986554295807	0.63612370575895	6.311	8.824	10.516	12.42	14.195	15.314	16.794	18.806	20.904
4	5961	1219.91	18.92	14.3300401606426	3.28938817945751	0.229544937947335	0.561683697638222	10.62	11.854	13.176	14.2	15.16	15.818	16.61	17.174	17.662
5	5965.78	1221.71	19.82	13.5942519685039	4.81939986418283	0.354517473660833	0.572962486747423	6.09	8.614	11.435	13.218	15.065	16.148	17.254	17.988	19.121
6	5970.26	1223.93	18.52	13.2485953177258	4.05245646360007	0.305878198134571	0.674471588730234	5.726	11.484	12.334	12.882	14.23	15.386	15.766	16.384	16.79
7	5973.36	1222.93	20.38	15.6863322884013	3.14902231447094	0.200749433109956	0.719586745167039	12.58	13.376	14.678	16.116	16.47	16.732	17.376	17.802	19.002
8	5974.63	1221.13	22.02	17.4181074766355	3.14702787820087	0.180675649316223	0.965464347747626	13.714	15.39	16.54	17.248	17.765	18.438	19.259	19.738	20.726
9	5974.28	1216.95	19.74	14.0011140583554	3.59403692456652	0.256696496406421	0.850420698833773	8.768	11.242	12.888	13.864	14.72	15.49	16.032	17.1	17.894
10	5976.87	1222.49	20.69	15.9677022653722	3.00011345489385	0.187886359917917	0.697029166948636	13.25	14.724	15.114	15.81	16.28	17.172	17.55	17.802	19
11	5978.11	1219.03	17.72	14.9775415282392	1.65473560902328	0.110481123080406	0.678983104373914	12.97	13.75	14.49	14.69	15	15.17	15.88	16.28	17.14
12	5979.54	1214.92	20.43	15.4932794117647	3.97581428695396	0.256615412482328	1.53391531885137	12.207	14.576	15.16	15.446	16.52	17.09	17.57	17.944	19.331
13	5897.08	1234.17	18.79	13.8669868995633	3.56969113912885	0.257423704585836	0.516568541201417	8.934	9.74	12.178	13.58	14.45	15.698	16.574	17.402	17.954
14	5896.16	1228.81	23.88	16.7214693877551	4.57547501386934	0.273628764779482	0.552660666350861	10.756	12.676	14.246	15.544	17.37	19.034	20.182	21.26	22.092
