ID;X;Y;Hmax;Hmean;Hstd;pene;CV;h10;h20;h30;h40;h50;h60;h70;h80;h90;TreeNum;Species;X_1;Y_1;d13_2009;hc_2009;Damage_cla;h
1;5893.59;1243.75;18.83;11.696189;4.10323;0.823056;0.350818;6.272;7.55;8.638;10.194;11.9;13.086;14.752;15.7;17.34;427;2;5893.841;1244.478;282;3.7;0;22.719589
2;5894.42;1238.78;20.84;14.262905;4.014446;0.77492;0.281461;8.13;10.71;12.78;13.6;15.08;15.77;16.59;18.08;18.89;426;2;5894.14;1238.931;251;7.7;0;20.750266
3;5897.38;1240.55;23.5;12.611268;5.743258;0.581475;0.455407;4.116;7.352;9.65;10.594;12.97;14.75;15.872;18.196;19.864;425;2;5897.24;1240.716;257;2.9;0;21.137261
4;5961;1219.91;18.92;13.314444;4.123199;0.829971;0.309679;5.843;10.496;11.891;13.25;14.395;15.392;16.125;17.07;17.573;31;2;5961.04;1220.429;243;1.9;0;20.229811
5;5965.78;1221.71;19.82;13.245112;4.932167;0.701571;0.372376;5.914;8.242;10.01;12.656;14.23;15.858;16.947;17.946;19.1;35;2;5965.473;1221.85;247;4.3;0;20.49068
6;5970.26;1223.93;18.52;12.712523;4.424217;0.648703;0.34802;3.208;10.98;11.696;12.75;13.72;15.104;15.706;16.322;16.718;51;1;5969.86;1223.922;228;11.1;0;19.252246
7;5973.36;1222.93;20.38;15.187015;3.895799;0.622677;0.256522;10.884;13.248;14.206;15.806;16.38;16.674;17.34;17.722;18.974;69;1;5972.954;1222.805;225;10.6;0;19.145575
8;5974.63;1221.13;22.02;16.386337;4.447459;0.766562;0.271413;12.705;13.98;15.455;16.81;17.36;17.99;19.05;19.51;20.645;70;1;5974.876;1221.491;282;11.3;0;20.940964
9;5974.28;1216.95;19.74;13.101141;4.100327;0.799642;0.312975;6.488;9.474;11.404;12.926;14.01;14.818;15.852;16.6;17.694;66;2;5974.539;1217.108;206;2.5;0;17.754229
10;5976.87;1222.49;20.69;15.662905;3.353521;0.656627;0.214106;12.954;14.544;15.048;15.392;16.17;17.046;17.482;17.63;18.876;71;1;5977.156;1222.904;215;11.5;0;18.778625
